cset: --> last message, executed args into cpuset "/user", new pid is: 3579655
No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
113186;1.6331;0.713036;1.05698
118820;1.50392;0.73736;1.07028
124735;1.52366;0.64835;1.01585
130945;1.51552;0.654834;1.02329
137465;1.5234;0.665354;1.03223
144311;1.52652;0.667261;1.0388
151499;1.53719;0.682844;1.04767
159046;1.54399;0.691844;1.05745
166970;1.59873;0.700674;1.06542
175290;1.5574;0.713313;1.0732
184026;1.56009;0.718549;1.08264
193198;1.71572;0.732668;1.09302
202828;1.57505;0.745863;1.10089
212939;1.59379;0.760733;1.11492
223555;1.58951;0.77168;1.1229
234701;1.5866;0.788881;1.13513
246404;1.59146;0.664956;1.05469
258692;1.60321;0.672698;1.0632
271594;1.61681;0.689504;1.0717
285141;1.61984;0.697331;1.08257
299365;1.64699;0.708104;1.09391
314300;1.65183;0.724316;1.10697
329981;1.66351;0.73608;1.11792
346446;1.67667;0.747584;1.13443
363734;1.69081;0.764247;1.15153
381886;1.72026;0.77895;1.17131
400945;1.74638;0.796735;1.1923
420956;2.03136;0.814885;1.21529
441967;1.801;0.839905;1.2404
464028;1.84413;0.863201;1.27112
487192;1.89029;0.8912;1.30144
511514;1.94129;0.781407;1.27056
537052;2.01214;0.803986;1.30801
563866;2.08058;0.827668;1.35112
592020;2.1521;0.856361;1.39839
621581;2.23708;0.885053;1.44765
652620;2.33605;0.92052;1.50465
685210;2.43693;0.955371;1.56443
719429;2.54606;1.00041;1.62857
755358;2.68316;1.04506;1.69773
793083;2.77705;1.09496;1.77907
832694;2.9285;1.14789;1.84966
874285;3.05681;1.20247;1.93164
917955;3.18577;1.26957;2.01879
963808;3.32481;1.34397;2.1114
1011953;3.46244;1.1304;2.13662
1062505;3.62323;1.18271;2.21453
1115584;3.76603;1.23592;2.29784
1171316;3.95789;1.29822;2.38521
1229834;4.06719;1.35546;2.46793
1291277;4.24836;1.41601;2.55846
1355792;4.39191;1.48215;2.64684
1423532;4.54025;1.55432;2.73869
1494659;4.65108;1.62553;2.83318
1569342;4.85276;1.70378;2.93058
1647759;5.894;1.78717;3.02908
1730096;5.11065;1.87954;3.13167
1816549;5.16837;1.97;3.23449
1907324;5.36957;2.05604;3.33693
2002637;5.48479;1.81198;3.31583
2102715;5.61561;1.87126;3.39913
2207796;5.79034;1.93129;3.45584
2318131;5.86223;1.98858;3.55218
2433982;5.93751;2.05478;3.61522
2555625;6.08014;2.11978;3.68013
2683350;6.17649;2.18641;3.78014
2817461;6.24894;2.26663;3.84508
