Scattered successful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
124735;0.538112;0.413371;0.354807
130945;0.553169;0.420249;0.372093
137465;0.638156;0.465156;0.387073
144311;0.609492;0.485773;0.375166
151499;0.616347;0.473352;0.384916
159046;0.642953;0.488503;0.400719
166970;0.66907;0.512855;0.396466
175290;0.713981;0.530975;0.40507
184026;0.727911;0.555521;0.429866
193198;0.927377;0.843938;0.48093
202828;0.778445;0.393277;0.343478
212939;0.547048;0.411169;0.361294
223555;0.556132;0.466229;0.376504
234701;0.579081;0.473276;0.379522
246404;0.639373;0.475559;0.377931
258692;0.67075;0.477376;0.372464
271594;0.702846;0.5417;0.385974
285141;0.685077;0.525865;0.40394
299365;0.715011;0.564743;0.407315
314300;0.722126;0.577617;0.44814
329981;0.747553;0.572076;0.476617
346446;0.939061;0.626011;0.457307
363734;0.915281;0.635324;0.472818
381886;0.930019;0.662625;0.508794
400945;0.934853;0.505003;0.392571
420956;0.724003;0.535547;0.393209
441967;0.720472;0.529308;0.682251
464028;1.5397;0.741195;0.42843
487192;0.736099;0.604037;0.413403
511514;0.78602;0.575879;0.465331
537052;0.839406;0.66961;0.474309
563866;0.972086;0.654636;0.486129
592020;0.950658;0.867066;0.501179
621581;1.09944;0.811258;0.647299
652620;1.03757;0.838961;0.498153
685210;1.13055;0.782104;0.577629
719429;1.17709;1.01688;0.507993
755358;1.23694;0.925713;0.632778
793083;1.35875;0.799577;0.492613
832694;1.08822;0.861124;0.513375
874285;1.22654;0.883336;0.535051
917955;1.1429;0.801965;0.630704
963808;1.69645;0.977961;0.697523
1011953;1.3793;0.971711;0.59569
1062505;1.34591;1.08046;0.684953
1115584;1.39922;1.0327;0.850595
1171316;1.37999;1.16137;0.802727
1229834;1.54903;1.13836;0.736459
1291277;1.55038;1.277;0.78333
1355792;1.60289;1.41587;0.889179
1423532;1.69452;1.40126;0.899976
1494659;1.83855;1.35007;0.863428
1569342;1.96594;1.43766;0.883348
1647759;1.47289;1.32021;0.77684
1730096;1.48419;1.2329;0.91949
1816549;1.54586;1.18509;0.913974
1907324;1.59462;1.18785;0.922497
2002637;1.52496;1.26154;0.90644
2102715;1.50041;1.30028;0.918974
2207796;1.66757;1.23643;0.943479
2318131;1.76455;1.36313;0.982059
2433982;1.96013;1.36015;1.27425
2555625;1.90637;1.48122;1.15909
2683350;2.1062;1.57096;1.13968
2817461;2.0377;1.6342;1.24117
2958277;2.17119;1.62898;1.38166
Scattered successful lookup, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.671774;0.511014;0.385694
10500;0.708847;0.505495;0.381049
11025;0.728019;0.541057;0.410981
11576;0.767844;0.552079;0.415011
12154;0.77534;0.553557;0.424601
12760;0.834003;0.600308;0.453812
13396;0.845734;0.618221;0.441776
14063;0.902144;0.655029;0.475222
14763;0.938722;0.69126;0.480644
15498;0.969377;0.544154;0.417933
16269;0.723229;0.544781;0.398116
17078;0.76022;0.559643;0.421504
17927;0.765136;0.58894;0.432134
18818;0.809291;0.617761;0.440879
19753;0.829233;0.65577;0.457291
20734;0.877683;0.680752;0.476705
21764;0.902517;0.699799;0.481576
22845;0.946057;0.718719;0.496588
23980;0.93534;0.75799;0.511601
25171;0.983836;0.78857;0.522435
26421;1.04737;0.842097;0.540984
27733;1.0768;0.868591;0.579184
29110;1.11152;0.909111;0.593285
30555;1.14699;0.938515;0.598491
32072;1.20151;0.640604;0.466194
33664;0.896776;0.626338;0.464257
35335;0.923424;0.648631;0.481395
37089;0.948717;0.660231;0.487249
38930;0.986372;0.684977;0.500446
40863;1.00232;0.709178;0.508124
42892;1.04103;0.733673;0.530897
45022;1.03609;0.757482;0.542625
47258;1.09752;0.788329;0.557442
49605;1.1347;0.826763;0.574487
52069;1.15549;0.864465;0.583224
54656;1.20107;0.897308;0.5984
57372;1.24638;0.927485;0.634995
60223;1.29639;0.953937;0.637453
63216;1.31803;0.693004;0.530974
66358;0.985184;0.715214;0.541437
69657;1.01448;0.729303;0.557078
73120;1.03312;0.739748;0.562004
76756;1.05474;0.783628;0.574093
80573;1.12192;0.799817;0.592921
84580;1.10865;0.813573;0.605493
88787;1.14192;0.852525;0.615896
93204;1.13421;0.868639;0.626345
97841;1.1805;0.937636;0.64788
102709;1.22819;0.928543;0.649374
107820;1.25978;0.965386;0.681855
113186;1.28504;1.00887;0.69367
118820;1.3342;1.05418;0.718772
124735;1.36253;0.786339;0.588966
130945;1.0793;0.831341;0.628489
137465;1.17923;0.84497;0.626328
144311;1.19953;0.875432;0.637267
151499;1.23378;0.922635;0.669542
159046;1.2946;0.986863;0.698747
166970;1.3486;1.0153;0.688461
175290;1.39521;1.04456;0.733622
184026;1.45193;1.09154;0.737564
193198;1.51994;1.14366;0.818534
202828;2.02629;1.2107;0.798864
212939;1.65315;1.25437;0.819265
223555;1.68847;1.32844;0.841448
234701;1.78767;1.42171;0.865733
246404;1.86846;0.912364;0.697286
258692;1.41948;0.989001;0.68708
271594;1.48788;0.991848;0.727614
285141;1.56607;1.0335;0.746268
299365;1.63011;1.07993;0.763564
314300;1.73944;1.15825;0.801976
329981;1.82493;1.22074;0.815005
346446;1.77186;1.22539;0.828387
363734;1.89243;1.28026;0.860398
381886;1.88807;1.36325;0.913127
400945;1.96639;1.41826;0.907535
420956;2.05352;1.51749;0.941277
441967;2.26602;2.39627;1.2349
464028;2.34258;1.61997;1.0188
487192;2.47029;1.81264;1.11338
511514;2.65387;1.27847;0.85723
537052;2.02687;1.33157;0.949489
563866;2.16189;1.52259;0.894534
