Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
124735;1.32543;0.675893;0.578964
130945;1.23249;0.67012;0.583642
137465;1.23383;0.690626;0.577801
144311;1.22727;0.687054;0.585289
151499;1.27835;0.695163;0.593754
159046;1.29271;0.70591;0.597497
166970;1.29082;0.711875;0.583866
175290;1.30467;0.729262;0.594879
184026;1.3138;0.748615;0.598788
193198;1.3413;0.790002;0.610672
202828;1.34546;0.819558;0.606311
212939;1.38184;0.810934;0.625155
223555;1.42618;0.827036;0.621463
234701;1.50615;0.855894;0.613341
246404;1.51356;0.845692;0.678969
258692;1.54871;0.83131;0.718574
271594;1.5258;0.947438;0.743512
285141;1.56501;0.907147;0.79369
299365;1.65625;0.991281;0.898771
314300;1.68177;1.07542;0.89355
329981;1.84212;1.11071;0.906947
346446;1.98214;1.10468;1.00033
363734;1.97155;1.24613;1.0055
381886;2.01404;1.37708;1.07534
400945;2.08293;1.3852;1.1223
420956;2.44196;1.46936;1.19377
441967;2.20933;1.55416;1.28524
464028;2.37572;1.59669;1.29753
487192;2.54825;1.6416;1.40662
511514;2.72415;1.68756;1.51761
537052;2.70995;1.76523;1.62178
563866;2.77327;1.84948;1.63419
592020;2.79606;1.94505;1.77639
621581;3.12367;2.01553;1.98741
652620;3.30237;2.01249;1.83725
685210;3.11528;2.15482;1.86303
719429;3.30846;2.20464;2.01969
755358;3.47514;2.38184;2.03403
793083;3.38909;2.37858;2.03693
832694;3.68176;2.40473;1.0818
874285;2.39192;1.37982;0.975984
917955;2.41037;1.48149;0.965739
963808;2.54134;1.54819;1.06647
1011953;2.79737;1.33479;1.08028
1062505;2.61393;1.37826;1.11775
1115584;2.60118;1.48577;1.1747
1171316;2.84014;1.49385;1.19377
1229834;2.7393;1.49456;1.19998
1291277;2.89035;1.54722;1.24421
1355792;2.92676;1.66435;1.6785
1423532;4.40598;2.81199;2.54544
1494659;4.41205;2.60992;2.56307
1569342;4.47214;2.83239;2.51517
1647759;4.53124;2.74931;2.47555
1730096;4.72743;2.83277;2.43348
1816549;4.66611;2.91994;2.44684
1907324;4.90427;3.09678;2.58828
2002637;4.9952;2.51049;2.70015
2102715;4.4825;2.61872;2.69193
2207796;4.58833;2.62831;2.68049
2318131;4.66358;2.72203;2.70203
2433982;4.62229;2.88575;2.04929
2555625;3.74165;1.89931;1.5314
2683350;3.74135;1.97721;1.5794
2817461;4.79383;2.67919;2.9605
2958277;5.1281;3.3168;3.06405
