Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
130945;0.75104;0.366578;0.424345
137465;0.775415;0.375765;0.434583
144311;0.803352;0.388493;0.447436
151499;0.823377;0.397303;0.462172
159046;0.850144;0.408537;0.474867
166970;0.887543;0.421576;0.496179
175290;0.66502;0.431583;0.511439
184026;0.686578;0.438878;0.526121
193198;0.710547;0.458815;0.553031
202828;0.737233;0.370084;0.44136
212939;0.762413;0.381779;0.455922
223555;0.781242;0.397164;0.467638
234701;0.808521;0.408422;0.482873
246404;0.832784;0.422493;0.502588
258692;0.866754;0.432958;0.518222
271594;0.908981;0.450168;0.529128
285141;0.923176;0.463071;0.546046
299365;0.955767;0.473646;0.566326
314300;0.998471;0.491516;0.593293
329981;1.02443;0.510908;0.609693
346446;1.06503;0.522226;0.62122
363734;0.758874;0.541524;0.650435
381886;0.79124;0.556592;0.677844
400945;0.836746;0.39365;0.481673
420956;0.972189;0.413435;0.490523
441967;0.888274;0.427621;0.52599
464028;0.94592;0.451056;0.548323
487192;1.02323;0.473203;0.583527
511514;1.08099;0.502569;0.588986
537052;1.10743;0.500129;0.624357
563866;1.1694;0.537296;0.711535
592020;1.23808;0.555168;0.663811
621581;1.27672;0.64821;0.730274
652620;1.35175;0.640506;0.759452
685210;1.46045;0.643488;0.795615
719429;1.21615;0.697969;0.871496
755358;1.2109;0.730884;0.845992
793083;1.35331;0.542155;0.660502
832694;1.35269;0.584503;0.684929
874285;1.37762;0.614044;0.661482
917955;1.51405;0.650049;0.754131
963808;1.54845;0.673526;0.784604
1011953;1.60898;0.697001;0.841193
1062505;1.66844;0.748739;0.845535
1115584;1.75234;0.73217;0.87607
1171316;1.64203;0.764551;0.892153
1229834;1.8523;0.821791;0.935726
1291277;1.90871;0.826853;0.978051
1355792;2.00199;0.830523;1.02642
1423532;2.10964;0.850138;1.06228
1494659;1.59372;0.915011;1.14835
1569342;1.65455;0.957464;1.17084
1647759;1.71484;0.762576;0.880533
1730096;1.76404;0.77656;0.920881
1816549;1.76222;0.780891;1.0203
1907324;1.83716;0.800151;0.991984
2002637;1.93136;0.817103;1.04029
2102715;1.95568;0.875895;1.05263
2207796;2.04636;0.882349;1.13402
2318131;2.07612;0.919112;1.15338
2433982;2.15056;0.942528;1.1469
2555625;2.19613;0.943422;1.19975
2683350;2.26783;0.983376;1.25601
2817461;2.36623;0.988123;1.27176
2958277;1.72848;1.00223;1.27313
