Scattered successful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.350015;0.240211;0.230667
10500;0.320382;0.244061;0.229206
11025;0.324495;0.248321;0.233208
11576;0.331267;0.254922;0.237141
12154;0.332016;0.261399;0.241964
12760;0.333755;0.234599;0.235378
13396;0.337303;0.239926;0.23853
14063;0.337767;0.245276;0.239997
14763;0.342601;0.246476;0.239575
15498;0.341181;0.243604;0.237585
16269;0.35627;0.253145;0.243617
17078;0.35936;0.251348;0.244638
17927;0.358019;0.2512;0.243246
18818;0.367484;0.257002;0.24602
19753;0.371093;0.258815;0.24758
20734;0.375517;0.265702;0.253407
21764;0.351501;0.273007;0.254787
22845;0.356194;0.2747;0.257976
23980;0.360044;0.282772;0.259313
25171;0.368825;0.253884;0.251645
26421;0.366466;0.257624;0.25223
27733;0.371677;0.259802;0.253415
29110;0.374301;0.268556;0.258696
30555;0.377523;0.278127;0.262254
32072;0.388779;0.278976;0.261738
33664;0.390162;0.283505;0.26474
35335;0.394528;0.285173;0.265845
37089;0.406643;0.289638;0.267504
38930;0.415499;0.300821;0.271585
40863;0.422143;0.29757;0.272599
42892;0.403023;0.313763;0.278431
45022;0.412988;0.319475;0.281831
47258;0.424382;0.32371;0.286038
49605;0.431602;0.261078;0.255839
52069;0.442906;0.270346;0.257962
54656;0.456853;0.279046;0.263332
57372;0.465385;0.285157;0.266391
60223;0.479667;0.293788;0.272498
63216;0.495869;0.300947;0.278447
66358;0.509449;0.308107;0.281139
69657;0.522547;0.312203;0.286565
73120;0.532848;0.321163;0.292603
76756;0.541904;0.330043;0.297458
80573;0.555934;0.336707;0.300105
84580;0.565156;0.342611;0.308263
88787;0.502088;0.353277;0.3144
93204;0.518548;0.362995;0.315965
97841;0.519857;0.36973;0.324151
102709;0.534989;0.341221;0.315752
107820;0.545394;0.347535;0.320016
113186;0.54114;0.352505;0.324493
118820;0.569743;0.360927;0.327059
124735;0.574302;0.374657;0.334133
130945;0.597215;0.38298;0.341591
137465;0.610431;0.390578;0.348339
144311;0.644233;0.400194;0.348819
151499;0.633243;0.416497;0.360011
159046;0.672727;0.448322;0.370307
166970;0.715947;0.459839;0.394616
175290;0.713805;0.473107;0.392484
184026;0.735549;0.501112;0.392055
193198;0.90518;0.51552;0.413979
202828;0.96236;0.468955;0.416619
212939;0.720182;0.426699;0.377497
223555;0.931358;0.498244;0.403887
234701;0.996389;0.485398;0.399798
246404;1.16352;0.47478;0.455974
258692;1.03251;0.567522;0.440371
271594;1.08929;0.578563;0.464703
285141;1.53618;0.616192;0.469571
299365;1.31073;0.677941;0.54313
314300;1.31271;0.782307;0.569289
329981;1.58699;0.770308;0.567351
346446;1.50498;0.677397;0.598707
363734;1.28619;0.800581;0.590868
381886;1.53814;0.822572;0.635177
400945;1.57517;0.708426;0.58701
420956;1.43928;0.659642;0.63377
441967;1.56882;0.79326;0.675413
464028;1.60478;0.734503;0.713817
487192;1.78032;0.824733;0.662689
511514;1.79664;0.765888;0.676032
537052;1.76537;0.88783;0.710189
563866;1.87886;0.847309;0.743431
592020;1.88643;0.895945;0.72681
621581;1.8277;0.896831;0.76596
652620;1.98444;0.976626;0.770259
685210;1.93147;0.976087;0.795187
719429;1.7369;0.961278;0.752854
755358;1.7946;1.05229;0.865359
793083;1.83421;0.914255;0.810393
832694;1.88258;0.966362;0.797987
874285;1.93889;1.0019;0.809846
917955;1.86071;0.952808;0.891889
963808;2.00139;1.03278;0.853938
1011953;2.03709;1.04411;0.944013
1062505;2.01402;1.08172;0.891597
1115584;2.0255;1.103;0.858904
1171316;2.08834;1.07476;0.909623
1229834;2.05331;1.07607;0.950759
1291277;2.11605;1.16733;1.05661
1355792;2.10943;1.19882;0.950096
1423532;2.20443;1.183;0.994168
1494659;1.88966;1.22788;1.0077
1569342;1.91268;1.3102;1.13115
1647759;2.04058;1.0883;0.996954
1730096;1.99948;1.09422;0.955252
1816549;2.04126;1.1232;0.994437
1907324;2.05417;1.13895;0.943193
2002637;2.01776;1.06282;0.944226
2102715;1.97498;1.10081;0.942153
2207796;1.88815;1.10932;0.993509
2318131;1.93864;1.09702;0.941052
2433982;1.99556;1.12112;0.974272
2555625;1.98576;1.15271;0.98818
2683350;2.05551;1.18241;1.03301
2817461;2.10499;1.22128;1.03006
2958277;1.82425;1.246;1.04521
Scattered unsuccessful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.40773;0.243078;0.191076
10500;0.318257;0.244304;0.191336
11025;0.325114;0.251037;0.195525
11576;0.335368;0.259798;0.198881
12154;0.340022;0.264934;0.202649
12760;0.347671;0.209182;0.182507
13396;0.354538;0.211872;0.184521
14063;0.361953;0.217563;0.186529
14763;0.369372;0.221804;0.189214
15498;0.377807;0.22535;0.190958
16269;0.387079;0.232314;0.195547
17078;0.396136;0.236928;0.197331
17927;0.406218;0.241615;0.198869
18818;0.420235;0.247692;0.203546
19753;0.428653;0.257679;0.20613
20734;0.443532;0.263681;0.209609
21764;0.34379;0.269688;0.212914
22845;0.356096;0.276558;0.217478
23980;0.362497;0.287333;0.221446
25171;0.373378;0.227605;0.19548
26421;0.382862;0.236641;0.198705
27733;0.396338;0.241675;0.199155
29110;0.407775;0.247382;0.204784
30555;0.42219;0.255438;0.206731
32072;0.438747;0.267751;0.210527
33664;0.454556;0.275301;0.215454
35335;0.47142;0.285359;0.218047
37089;0.490943;0.29643;0.221295
38930;0.509215;0.307983;0.228592
40863;0.529772;0.315827;0.232605
42892;0.413746;0.331109;0.238336
45022;0.426734;0.343209;0.246072
47258;0.438434;0.358146;0.254576
49605;0.452027;0.280794;0.228834
52069;0.463339;0.290816;0.231772
54656;0.474261;0.297211;0.236431
57372;0.490353;0.305208;0.241711
60223;0.505962;0.315911;0.247818
63216;0.538882;0.326752;0.252477
66358;0.538899;0.331898;0.257754
69657;0.565603;0.34044;0.264112
73120;0.596291;0.349995;0.269287
76756;0.616146;0.362251;0.276196
80573;0.630327;0.378485;0.280982
84580;0.659548;0.387182;0.288856
88787;0.49695;0.404054;0.293869
93204;0.556148;0.436037;0.305254
97841;0.573942;0.44738;0.312428
102709;0.562388;0.328275;0.266973
107820;0.609505;0.336015;0.265253
113186;0.593852;0.36209;0.283996
118820;0.669527;0.403429;0.289286
124735;0.801827;0.427391;0.319791
130945;0.833496;0.513898;0.333729
137465;0.972262;0.552439;0.328678
144311;0.887564;0.524263;0.392108
151499;0.904743;0.475991;0.353921
159046;1.08676;0.5897;0.420003
166970;1.06732;0.580111;0.373006
175290;0.741824;0.634731;0.375826
184026;0.9187;0.766048;0.414885
193198;0.957369;0.747933;0.455488
202828;0.951022;0.600596;0.373734
212939;1.12749;0.58305;0.407547
223555;1.07314;0.579256;0.381959
234701;1.1664;0.762324;0.437876
246404;1.23749;0.735474;0.501191
258692;1.28913;0.73691;0.490538
271594;1.30624;0.773906;0.570416
285141;1.45556;0.925088;0.517551
299365;1.58738;0.961785;0.603645
314300;1.61641;0.981589;0.601846
329981;1.83688;0.986523;0.631414
346446;1.81434;1.07903;0.623616
363734;1.20182;1.14978;0.710135
381886;1.28621;1.10899;0.748914
400945;1.32891;0.883307;0.674201
420956;1.38807;0.868578;0.688941
441967;1.46415;0.956871;0.704256
464028;1.49918;0.962506;0.749369
487192;1.56073;0.976839;0.738519
511514;1.66461;1.00939;0.799821
537052;1.71095;1.02549;0.801544
563866;1.75521;1.04413;0.795175
592020;1.73584;1.12265;0.892083
621581;1.8349;1.099;0.862435
652620;1.97488;1.11812;0.865309
685210;1.96072;1.22591;0.925951
719429;1.35454;1.23361;0.941254
755358;1.39752;1.2887;0.939167
793083;1.45059;0.922117;0.757711
832694;1.49149;0.958272;0.7551
874285;1.54383;0.977069;0.777922
917955;1.58498;1.00211;0.814405
963808;1.63736;1.03461;0.826258
1011953;1.70865;1.04879;0.84475
1062505;1.7473;1.09694;0.89446
1115584;1.80393;1.11632;0.926508
1171316;1.87467;1.16204;0.929489
1229834;1.9278;1.19904;0.953407
1291277;1.99448;1.20939;0.990549
1355792;2.05708;1.24488;0.977121
1423532;2.12061;1.28276;1.00135
1494659;1.34225;1.29856;1.00064
1569342;1.40163;1.36608;1.03813
1647759;1.44655;0.946674;0.784138
1730096;1.48578;0.939321;0.789624
1816549;1.49892;0.987527;0.810684
1907324;1.58244;0.994123;0.829228
2002637;1.65295;1.04159;0.804937
2102715;1.66467;1.04581;0.84898
2207796;1.72054;1.07609;0.878841
2318131;1.75227;1.1014;0.901212
2433982;1.82287;1.12034;0.916504
2555625;1.86474;1.16079;0.934302
2683350;1.97923;1.19538;0.957259
2817461;2.02345;1.23748;0.984979
2958277;1.32233;1.27267;0.99767
Scattered successful lookup, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.534695;0.410341;0.31281
10500;0.554138;0.418677;0.315537
11025;0.570475;0.438158;0.329102
11576;0.577924;0.447742;0.334963
12154;0.600401;0.44898;0.340619
12760;0.619623;0.477291;0.350729
13396;0.637515;0.496948;0.362814
14063;0.661392;0.521879;0.378902
14763;0.678658;0.542267;0.393253
15498;0.703149;0.404579;0.310052
16269;0.532531;0.410014;0.314531
17078;0.543564;0.419072;0.324125
17927;0.553743;0.437964;0.324048
18818;0.577375;0.451394;0.334717
19753;0.586477;0.465047;0.343629
20734;0.598809;0.482748;0.353616
21764;0.620966;0.485871;0.352268
22845;0.633416;0.511802;0.365704
23980;0.652374;0.535051;0.381381
25171;0.655574;0.544817;0.387179
26421;0.67984;0.552097;0.40141
27733;0.687002;0.582622;0.40948
29110;0.72094;0.589995;0.419303
30555;0.750728;0.618953;0.430347
32072;0.770828;0.385868;0.302181
33664;0.517393;0.391075;0.303729
35335;0.535793;0.401674;0.30855
37089;0.548819;0.406326;0.314898
38930;0.565191;0.420856;0.32471
40863;0.586143;0.429978;0.324724
42892;0.609709;0.450298;0.333148
45022;0.643212;0.467653;0.341965
47258;0.674406;0.491539;0.355036
49605;0.696748;0.513806;0.359156
52069;0.728719;0.539801;0.371573
54656;0.760463;0.572224;0.382065
57372;0.80054;0.605831;0.391538
60223;0.850394;0.635069;0.409582
63216;0.884737;0.439317;0.320664
66358;0.662076;0.453948;0.333571
69657;0.681342;0.481068;0.344286
73120;0.703658;0.497284;0.353265
76756;0.733509;0.52756;0.363784
80573;0.758864;0.545002;0.379298
84580;0.797553;0.579631;0.389706
88787;0.833455;0.607821;0.408673
93204;0.85913;0.6294;0.427188
97841;0.898102;0.657272;0.445931
102709;0.963718;0.6983;0.463367
107820;1.02319;0.732567;0.472729
113186;1.02761;0.752456;0.495502
118820;1.0881;0.821062;0.517301
124735;1.13801;0.569688;0.403126
130945;1.23226;0.580245;0.414976
137465;0.818064;0.610984;0.426898
144311;0.850995;0.628714;0.444958
151499;0.901756;0.648742;0.445702
159046;0.920475;0.676551;0.473034
166970;0.983292;0.718976;0.481549
175290;1.04849;0.746038;0.49506
184026;1.1049;0.777362;0.525488
193198;1.24374;0.827025;0.524092
202828;1.31013;0.942307;0.566259
212939;1.41039;0.913198;0.594469
223555;1.52341;0.974443;0.597254
234701;1.53741;1.03556;0.642406
246404;1.97689;0.690884;0.474337
258692;2.01522;0.769742;0.505084
271594;1.24795;0.719966;0.474954
285141;1.20994;0.713527;0.47403
299365;1.19834;0.83096;0.526176
314300;1.58472;0.838933;0.54987
329981;1.54377;0.90514;0.623557
346446;1.69406;1.01949;0.583082
363734;1.70736;0.950666;0.594891
381886;1.81101;1.14142;0.657194
400945;2.05649;1.33733;0.687438
420956;2.35798;1.27812;0.784171
441967;2.47737;1.41048;0.692113
464028;2.60151;1.71817;0.8486
487192;2.55429;1.82875;0.779256
511514;2.77692;1.35461;0.651992
537052;2.89484;1.10659;0.744585
563866;2.15415;1.29485;0.757587
592020;2.17177;1.31028;0.748388
621581;2.15002;1.27994;0.861061
652620;2.44388;1.46186;0.770974
685210;2.16418;1.48769;0.861774
719429;2.44525;1.54411;0.801998
755358;2.55461;1.819;0.930472
793083;2.85365;1.97108;1.037
832694;2.96887;2.02702;1.10318
874285;2.88742;2.08316;1.06633
917955;3.07731;2.18706;1.11849
963808;3.35806;2.37529;1.14306
1011953;3.2752;1.40106;0.86295
1062505;3.53769;1.47454;0.881231
1115584;2.45952;1.55102;0.976238
1171316;2.49418;1.68653;0.999257
1229834;2.77687;1.71382;0.941102
1291277;2.78539;1.7856;1.11477
1355792;2.87224;1.85838;1.14978
1423532;2.95169;2.03318;1.22629
1494659;3.02041;2.13886;1.21028
1569342;3.17819;2.05897;1.23672
1647759;3.31685;2.23826;1.2275
1730096;3.35434;2.25963;1.48257
1816549;3.4311;2.41144;1.5009
1907324;3.63167;2.52908;1.60014
2002637;3.75418;1.66392;1.25521
2102715;3.90226;1.74202;1.26077
2207796;4.01141;1.74822;1.18047
2318131;2.77929;1.80999;1.21518
2433982;2.90899;1.89614;1.40196
2555625;2.92853;1.98787;1.34839
2683350;3.07985;2.09979;1.42377
2817461;3.17275;2.15541;1.43003
2958277;3.25865;2.23969;1.54133
Scattered unsuccessful lookup, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.783697;0.517948;0.32235
10500;0.817698;0.542535;0.328231
11025;0.852121;0.564437;0.338467
11576;0.886173;0.589756;0.348019
12154;0.913673;0.608754;0.360894
12760;0.9492;0.63316;0.367108
13396;0.97969;0.65463;0.373933
14063;1.009;0.678873;0.383011
14763;1.04789;0.70456;0.398686
15498;1.08157;0.472931;0.298164
16269;0.711247;0.488253;0.308868
17078;0.733946;0.505895;0.317822
17927;0.765294;0.525042;0.32483
18818;0.791098;0.547125;0.334806
19753;0.816787;0.568849;0.345317
20734;0.852523;0.597414;0.355534
21764;0.888661;0.620238;0.365923
22845;0.927793;0.63607;0.375439
23980;0.948706;0.665135;0.380261
25171;0.995871;0.684752;0.394577
26421;1.02486;0.722721;0.399301
27733;1.06408;0.744529;0.408533
29110;1.10941;0.771437;0.41681
30555;1.14674;0.798188;0.428791
32072;1.1991;0.526511;0.309653
33664;0.8044;0.548526;0.315684
35335;0.843482;0.581224;0.323667
37089;0.891614;0.607876;0.33486
38930;0.931773;0.641347;0.351771
40863;0.98539;0.675864;0.352067
42892;1.03967;0.710745;0.367827
45022;1.09302;0.746102;0.382341
47258;1.16276;0.792356;0.396612
49605;1.20875;0.829077;0.407738
52069;1.28508;0.873056;0.426713
54656;1.35515;0.924376;0.442948
57372;1.41136;0.969939;0.458565
60223;1.4965;1.01471;0.481014
63216;1.57351;0.652889;0.366155
66358;1.01366;0.684669;0.381913
69657;1.058;0.714755;0.396683
73120;1.11394;0.746036;0.409693
76756;1.17023;0.785826;0.427991
80573;1.23449;0.824889;0.440103
84580;1.308;0.861316;0.454711
88787;1.37382;0.90016;0.476341
93204;1.43151;0.941431;0.491207
97841;1.47788;0.982019;0.512702
102709;1.55918;1.02898;0.530792
107820;1.71025;1.09909;0.538014
113186;1.78973;1.20341;0.571733
118820;1.88814;1.27196;0.582477
124735;2.04864;0.784445;0.451407
130945;2.14534;0.860318;0.468101
137465;1.37465;0.93117;0.50128
144311;1.86019;0.947889;0.513702
151499;1.63513;1.03429;0.504
159046;1.74301;1.08855;0.543211
166970;1.92525;1.32702;0.576102
175290;1.86143;1.22817;0.586998
184026;2.20953;1.58078;0.60756
193198;2.26016;1.39115;0.634435
202828;2.37316;1.46148;0.658169
212939;2.58175;1.61322;0.690432
223555;3.06201;2.06149;0.754362
234701;3.56441;2.33222;0.865023
246404;3.51664;1.35213;0.617736
258692;4.15415;1.26266;0.599758
271594;2.42401;1.28786;0.630128
285141;2.60241;1.4496;0.64787
299365;2.76667;1.64832;0.710273
314300;2.76326;1.76081;0.794691
329981;3.1407;1.76219;0.839676
346446;3.33283;2.17073;0.835183
363734;3.80607;2.33308;0.905322
381886;3.49415;2.38163;0.997838
400945;4.53176;2.49624;0.886878
420956;4.41194;2.55481;0.991041
