Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
130945;0.643501;0.39835;0.472921
137465;0.661397;0.408382;0.483917
144311;0.682375;0.417705;0.495002
151499;0.708369;0.431697;0.507106
159046;0.737674;0.444053;0.528164
166970;0.769048;0.458262;0.545608
175290;0.797785;0.472053;0.563164
184026;0.826098;0.48567;0.583933
193198;0.856235;0.500166;0.602516
202828;0.887355;0.371664;0.437461
212939;0.62662;0.383719;0.460138
223555;0.646741;0.394838;0.471762
234701;0.669384;0.40715;0.479104
246404;0.692859;0.419226;0.497003
258692;0.761863;0.430162;0.516853
271594;0.791168;0.442353;0.530013
285141;0.768629;0.455825;0.544708
299365;0.787385;0.46708;0.560743
314300;0.811273;0.479856;0.579944
329981;0.838847;0.494035;0.59755
346446;0.873235;0.506635;0.626671
363734;0.906145;0.522493;0.645025
381886;0.946691;0.537944;0.664564
400945;0.967944;0.409035;0.480171
420956;0.692635;0.419633;0.499859
441967;0.721971;0.438766;0.513691
464028;0.750741;0.441943;0.523636
487192;0.768624;0.448673;0.533226
511514;0.789744;0.481641;0.554382
537052;0.858968;0.486334;0.61767
563866;0.858809;0.48595;0.593377
592020;0.865493;0.496224;0.603115
621581;0.901029;0.50584;0.612103
652620;0.942606;0.527853;0.63153
685210;0.984622;0.542757;0.648537
719429;1.02694;0.565006;0.664957
755358;1.0767;0.591342;0.692181
793083;1.21134;0.439019;0.526115
832694;0.913169;0.473069;0.557045
874285;0.987667;0.478396;0.585261
917955;0.978109;0.503986;0.589509
963808;1.02804;0.535754;0.61834
1011953;1.11161;0.56231;0.690148
1062505;1.14997;0.568602;0.724083
1115584;1.27477;0.632066;0.749415
1171316;1.34899;0.674233;0.853576
1229834;1.43046;0.669801;0.828013
1291277;1.42548;0.762675;0.864234
1355792;1.48965;0.762213;0.925505
1423532;1.5867;0.785967;0.959062
1494659;1.61056;0.831645;0.994247
1569342;1.70838;0.870891;1.04375
1647759;1.3553;0.681533;0.81415
1730096;1.39767;0.717331;0.865218
1816549;1.4505;0.780601;0.904491
1907324;1.49136;0.77539;0.942785
2002637;1.4932;0.786448;0.969545
2102715;1.5338;0.836058;0.997885
2207796;1.58431;0.872996;1.05389
2318131;1.64395;0.904184;1.06424
2433982;1.68988;0.934295;1.14309
2555625;1.74541;0.960126;1.19974
2683350;1.8493;1.02775;1.28151
2817461;1.88818;1.03211;1.30242
2958277;1.95941;1.07814;1.36942
