No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
137461;0.986472;0.914359;0.956949
144307;0.986682;0.902467;0.941754
151495;0.989541;0.88982;0.931968
159042;0.991636;0.879058;0.925043
166965;0.995959;0.870661;0.917592
175284;1.1969;0.863116;0.908175
184019;1.17595;0.856506;0.899636
193190;1.16069;0.850707;0.894401
202820;1.1498;1.07738;1.17151
212931;1.13736;1.05733;1.14366
223547;1.13205;1.03963;1.1246
234692;1.12133;1.02903;1.11297
246395;1.11267;1.01761;1.10732
258683;1.11866;0.997577;1.07856
271585;1.10348;0.974067;1.05133
285132;1.10334;0.965558;1.04006
299354;1.10128;0.95182;1.04508
314289;1.12491;0.95323;1.03491
329969;1.13058;0.96623;1.03327
346432;1.13306;0.925928;0.993549
363719;1.33319;0.921561;0.980984
381870;1.32138;0.91439;0.978155
400928;1.29081;1.21643;1.35474
420937;1.30375;1.1628;1.35044
441947;1.28209;1.14123;1.2972
464005;1.2729;1.13942;1.26303
487165;1.25211;1.25883;1.95038
511485;2.46738;1.10903;1.19954
537019;1.25316;1.08378;1.19317
563827;1.27194;1.06474;1.19883
591977;1.29847;1.05042;1.16617
621532;1.32171;1.1181;2.0088
652567;2.64995;1.05421;1.1517
685151;1.32819;1.02757;1.24642
719359;2.00137;1.03592;1.15127
755280;1.81731;1.05515;1.12714
792997;1.7944;1.36841;1.97247
832595;1.96084;1.45932;1.95813
874177;2.11793;1.44439;1.81208
917832;2.00976;1.43293;1.96568
963677;2.42377;1.49316;2.07969
1011813;2.43785;1.51316;2.27839
1062351;2.47363;1.52177;2.13188
1115422;2.56509;1.49074;2.05982
1171143;2.35891;1.47755;1.96026
1229634;2.57589;1.48495;1.94518
1291062;2.46102;1.94483;2.84963
1355554;3.57843;1.6346;1.99775
1423274;2.60701;1.4974;2.31612
1494380;3.39116;1.43984;1.90551
1569031;3.09306;1.52875;1.80776
1647417;3.3172;1.92509;2.96218
1729734;3.48776;1.86016;2.74784
1816153;3.18014;1.97856;2.54678
1906885;3.11376;1.84683;2.55476
2002164;3.15003;2.05799;2.65574
2102198;3.14041;1.82742;2.59719
2207233;3.38321;1.88935;2.59192
2317508;3.37678;1.78892;2.54712
2433290;3.24287;1.84082;2.49846
2554854;3.50287;2.1569;2.94008
2682511;3.99466;2.01747;2.75239
2816546;3.85868;2.00171;2.77868
2957287;5.54886;1.84854;2.64317
