Scattered successful lookup:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
130945;0.639689;0.392652;0.464804
137465;0.666472;0.405829;0.482494
144311;0.681841;0.418803;0.488012
151499;0.702446;0.425759;0.501524
159046;0.732155;0.437409;0.527378
166970;0.794145;0.453183;0.550328
175290;0.826958;0.478617;0.567372
184026;0.853757;0.550485;0.586538
193198;0.87948;0.517414;0.596699
202828;0.890936;0.399963;0.481361
212939;0.727167;0.436152;0.526013
223555;0.758542;0.437818;0.517435
234701;0.847475;0.467643;0.568735
246404;0.951181;0.481562;0.597262
258692;0.856442;0.516146;0.585403
271594;0.871076;0.539252;0.652213
285141;0.90541;0.539512;0.692274
299365;1.03324;0.531957;0.71645
314300;1.02591;0.714634;0.812117
329981;1.05132;0.615185;0.755054
346446;1.15642;0.662636;0.704508
363734;1.11518;0.650869;0.758805
381886;1.13409;0.632284;0.734559
400945;1.11436;0.466656;0.523297
420956;0.879855;0.482966;0.559035
441967;0.926049;0.483712;0.719303
464028;1.23247;0.552844;0.626546
487192;1.34091;0.668854;0.751322
511514;1.26977;0.581144;0.764937
537052;1.32467;0.608402;0.714598
563866;1.22936;0.656214;0.842179
592020;1.30878;0.697467;0.86509
621581;1.3453;0.742164;0.89263
652620;1.60456;0.853629;0.876508
685210;1.65714;0.837656;0.916321
719429;1.52554;0.838516;0.913341
755358;1.59579;0.807054;0.964692
793083;1.7835;0.663147;0.760557
832694;1.34481;0.68206;0.795443
874285;1.35816;0.68794;0.836172
917955;1.37296;0.762135;0.86275
963808;1.44151;0.790121;0.880765
1011953;1.73873;0.89832;1.00031
1062505;1.65532;0.830331;0.987677
1115584;1.6283;0.863668;1.00825
1171316;1.69636;0.887829;1.06366
1229834;1.74907;0.91222;1.07111
1291277;1.85047;0.972624;1.13775
1355792;1.94925;1.01687;1.222
1423532;2.03109;1.05576;1.27267
1494659;2.04395;1.08461;1.33476
1569342;2.11252;1.10592;1.36213
1647759;1.56599;0.875116;1.08846
1730096;1.58754;0.885327;1.08944
1816549;1.64859;0.888586;1.11496
1907324;1.73357;0.909833;1.16601
2002637;1.72653;0.933944;1.17665
2102715;1.75198;0.970446;1.21418
2207796;1.79833;0.993289;1.28075
2318131;1.88289;1.02257;1.25538
2433982;1.9263;1.03782;1.37497
2555625;2.02702;1.10688;1.44672
2683350;2.1128;1.15458;1.49222
2817461;2.16695;1.15137;1.50942
2958277;2.18349;1.18645;1.57418
