cset: --> last message, executed args into cpuset "/user", new pid is: 505520
No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
113186;0.867076;0.710256;0.957634
118820;0.882165;0.727016;0.969115
124735;0.883609;0.643126;0.922373
130945;0.899762;0.650244;0.929366
137465;0.890273;0.660519;0.938826
144311;0.880056;0.662562;0.943936
151499;0.895096;0.677754;0.95172
159046;0.903091;0.687704;0.961063
166970;0.910504;0.696956;0.968089
175290;0.926801;0.708519;0.975508
184026;0.907463;0.715743;0.983038
193198;0.928608;0.729203;0.994486
202828;0.934097;0.742815;1.00114
212939;0.92616;0.7602;1.01393
223555;0.937635;0.76832;1.02103
234701;0.931181;0.785854;1.03343
246404;0.934547;0.662761;0.952061
258692;0.956185;0.670297;0.962381
271594;0.935548;0.685679;0.970089
285141;0.95832;0.695414;0.981401
299365;0.960414;0.705314;0.991057
314300;0.948424;0.72045;1.00487
329981;0.969779;0.731535;1.01364
346446;0.975023;0.745775;1.03075
363734;0.99575;0.762792;1.04584
381886;0.997664;0.776364;1.06409
400945;1.01379;0.794898;1.08361
420956;1.03711;0.811604;1.10445
441967;1.03818;0.837336;1.12863
464028;1.04586;0.860854;1.15626
487192;1.07712;0.88575;1.18465
511514;1.09179;0.780639;1.16892
537052;1.13392;0.802041;1.2044
563866;1.13124;0.823979;1.24324
592020;1.1648;0.851752;1.28875
621581;1.21301;0.87999;1.33946
652620;1.23467;0.917626;1.39577
685210;1.2826;0.952683;1.45555
719429;1.34625;0.994272;1.51886
755358;1.37302;1.04465;1.5876
793083;1.4483;1.09575;1.66167
832694;1.50276;1.14426;1.73737
874285;1.54219;1.20824;1.81954
917955;1.62572;1.27623;1.90757
963808;1.69007;1.35015;1.99729
1011953;1.7829;1.13711;2.02898
1062505;1.83456;1.1903;2.10846
1115584;1.89655;1.24379;2.18794
1171316;1.99602;1.30302;2.27313
1229834;2.04783;1.36509;2.3582
1291277;2.08358;1.4216;2.44243
1355792;2.18363;1.4896;2.52668
1423532;2.2504;1.55178;2.61286
1494659;2.35461;1.63227;2.69824
1569342;2.40373;1.70076;2.78803
1647759;2.4603;1.7746;2.8757
1730096;2.57246;1.86342;2.97073
1816549;2.61839;1.95207;3.06411
1907324;2.66781;2.03493;3.16049
2002637;2.77506;1.79447;3.12266
2102715;2.8455;1.85705;3.19563
2207796;2.94964;1.92091;3.26837
2318131;3.02302;1.98521;3.34539
2433982;3.03091;2.05015;3.41771
2555625;3.13979;2.12152;3.49488
2683350;3.20026;2.19591;3.57666
2817461;3.24344;2.27351;3.65713
2958277;3.35351;2.35425;3.73757
Runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.638934;0.608664;0.749487
10500;0.739455;0.600512;0.74751
11025;0.731992;0.594526;0.745907
11576;0.726692;0.589193;0.74828
12154;0.721628;0.586713;0.747735
12760;0.71193;0.731335;0.811703
13396;0.709684;0.720026;0.811
14063;0.706947;0.708892;0.815635
14763;0.701278;0.702313;0.815997
