cset: --> last message, executed args into cpuset "/user", new pid is: 366162
Scattered erasure, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
113186;0.959225;0.716533;0.548507
118820;0.967215;0.725767;0.54935
124735;0.978507;0.658748;0.548839
130945;0.993756;0.66586;0.55039
137465;0.916728;0.674142;0.551633
144311;0.917379;0.681001;0.553321
151499;0.928251;0.688087;0.55596
159046;0.935505;0.698924;0.558048
166970;0.942812;0.708774;0.558189
175290;0.949606;0.718045;0.560934
184026;0.960086;0.727942;0.56188
193198;0.969496;0.739574;0.562924
202828;0.979459;0.750454;0.565504
212939;0.99411;0.764424;0.56805
223555;1.00879;0.776331;0.571088
234701;1.02267;0.795549;0.573503
246404;1.03368;0.738476;0.591122
258692;1.07304;0.761296;0.600689
271594;1.01627;0.790754;0.618597
285141;1.04367;0.823554;0.638141
299365;1.07516;0.854821;0.651474
314300;1.1083;0.888899;0.665932
329981;1.1452;0.927005;0.688336
346446;1.18109;0.966987;0.705048
363734;1.22544;1.01201;0.730725
381886;1.27973;1.0615;0.755767
400945;1.34233;1.11085;0.794472
420956;1.41039;1.16436;0.8344
441967;1.48959;1.22416;0.87354
464028;1.5624;1.28595;0.913795
487192;1.65021;1.34351;0.957878
511514;1.75048;1.3419;1.07865
537052;1.86123;1.40163;1.13252
563866;1.87676;1.45796;1.18926
592020;1.9841;1.52776;1.25336
621581;2.09547;1.59637;1.31567
652620;2.22478;1.67638;1.38047
685210;2.35609;1.75666;1.43914
719429;2.40745;1.83609;1.50248
755358;2.59588;1.923;1.55786
793083;2.72428;2.01232;1.61943
832694;2.84919;2.0941;1.67401
874285;2.97542;2.17964;1.7221
917955;3.12802;2.27206;1.77641
963808;3.23532;2.37359;1.82611
1011953;3.38919;2.18705;1.96796
1062505;3.53162;2.2418;2.01275
1115584;3.42526;2.31338;2.02769
1171316;3.5298;2.37751;2.08569
1229834;3.6123;2.44467;2.13495
1291277;3.71342;2.50576;2.17066
1355792;3.81038;2.58018;2.20503
1423532;3.86526;2.64844;2.24012
1494659;3.96909;2.70982;2.26137
1569342;4.08728;2.78549;2.29294
1647759;4.14146;2.8677;2.31715
1730096;4.23323;2.93029;2.34983
1816549;4.36871;3.03372;2.37865
1907324;4.49037;3.12712;2.39401
2002637;4.55429;2.76637;2.50767
2102715;4.69902;2.81658;2.53714
2207796;4.7782;2.87085;2.5552
2318131;4.46905;2.9354;2.58176
2433982;4.51601;2.99413;2.59658
2555625;4.58975;3.05615;2.64147
2683350;4.74305;3.15534;2.66958
2817461;4.85055;3.22422;2.69767
2958277;4.91369;3.30264;2.70991
