cset: --> last message, executed args into cpuset "/user", new pid is: 3655117
No-rehash runnning insertion:
std::unordered_set;boost::unordered_set;multi_index::hashed_unique
124731;0.919881;0.855777;0.886997
130941;0.915902;0.843284;0.875767
137461;0.912068;0.831754;0.864958
144307;0.909381;0.821167;0.856027
151495;0.908037;0.810836;0.84685
159042;0.906044;0.802368;0.839621
166965;0.907928;0.795191;0.834744
175284;1.03761;0.788165;0.829176
184019;1.02439;0.782286;0.824728
193190;1.01271;0.776443;0.821733
202820;1.00219;0.979584;1.03145
212931;0.992568;0.96034;1.0128
223547;0.985367;0.942142;0.996064
234692;0.980048;0.926197;0.980289
246395;0.975084;0.910076;0.971357
258683;0.972479;0.897891;0.957862
271585;0.970578;0.886906;0.949261
285132;0.969504;0.877126;0.93921
299354;0.96998;0.869562;0.930081
314289;0.973451;0.862283;0.922861
329969;0.979568;0.857411;0.918566
346432;0.986222;0.853882;0.918496
363719;1.26252;0.85187;0.914687
381870;1.2508;0.851628;0.919252
400928;1.24402;1.29163;1.41655
420937;1.24432;1.26942;1.40002
441947;1.24385;1.25227;1.38664
464005;1.25633;1.23488;1.37188
487165;1.26723;1.2207;1.35732
511485;1.28425;1.21216;1.35441
537019;1.2953;1.20633;1.34704
563827;1.31697;1.20075;1.33791
591977;1.33979;1.1974;1.334
621532;1.36732;1.19766;1.32585
652567;1.39865;1.2007;1.32876
685151;1.43323;1.20597;1.33523
719359;1.9847;1.2144;1.34224
755280;1.98276;1.22438;1.35314
792997;1.984;1.76213;2.09088
832595;1.98854;1.75342;2.07447
874177;1.9969;1.7408;2.05459
917832;2.00653;1.72916;2.03235
963677;2.02101;1.71781;2.00751
1011813;2.03763;1.70989;1.9955
1062351;2.05849;1.70326;1.97972
1115422;2.07697;1.69852;1.97036
1171143;2.10082;1.69305;1.96507
1229634;2.12996;1.69631;1.96174
1291062;2.16063;1.70242;1.96171
1355554;2.19286;1.71012;1.96984
1423274;2.23005;1.71999;1.976
1494380;2.90168;1.7314;1.98385
1569031;2.88522;1.74741;2.00378
1647417;2.87057;2.30997;2.79993
1729734;2.8599;2.28297;2.76463
1816153;2.8056;2.25693;2.72811
1906885;2.80509;2.23273;2.69573
2002164;2.81054;2.20759;2.60758
2102198;2.79601;2.20573;2.59709
2207233;2.81447;2.16891;2.60156
2317508;2.81776;2.17351;2.58154
2433290;2.83299;2.16482;2.58004
2554854;2.84658;2.16693;2.56481
2682511;2.88014;2.17017;2.57462
2816546;2.89;2.16562;2.57582
2957287;4.55385;2.18377;2.57044
