Scattered successful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
124735;0.475608;0.297809;0.235943
130945;0.489313;0.305406;0.242383
137465;0.505954;0.312602;0.244732
144311;0.521552;0.323154;0.251024
151499;0.539278;0.336979;0.258438
159046;0.564121;0.348216;0.26473
166970;0.593219;0.362442;0.275679
175290;0.448313;0.378755;0.2823
184026;0.463081;0.394021;0.294377
193198;0.480057;0.411242;0.300109
202828;0.497356;0.320272;0.259554
212939;0.514974;0.328797;0.263279
223555;0.531384;0.341312;0.269386
234701;0.552866;0.350181;0.277049
246404;0.574083;0.360708;0.28226
258692;0.594324;0.378285;0.291045
271594;0.620696;0.389324;0.300386
285141;0.641688;0.395668;0.305981
299365;0.686598;0.413842;0.31577
314300;0.696216;0.439968;0.328277
329981;0.757238;0.445424;0.330823
346446;0.755693;0.463496;0.341799
363734;0.52074;0.483393;0.354481
381886;0.538407;0.498323;0.356543
400945;0.563596;0.364582;0.292197
420956;0.601394;0.371238;0.298539
441967;0.623095;0.389505;0.306061
464028;0.638317;0.400215;0.320477
487192;0.698618;0.407915;0.331261
511514;0.728159;0.461402;0.335203
537052;0.786251;0.505285;0.345781
563866;0.796229;0.482958;0.360782
592020;0.847419;0.493696;0.362268
621581;0.88474;0.535709;0.38562
652620;0.922176;0.52661;0.404133
685210;1.04377;0.622785;0.407643
719429;0.707098;0.628244;0.423805
755358;0.792341;0.673052;0.42854
793083;0.829084;0.515346;0.417543
832694;0.883357;0.547066;0.383547
874285;0.883179;0.584487;0.395358
917955;0.989105;0.622971;0.411486
963808;1.01635;0.632824;0.421955
1011953;1.07413;0.668595;0.449439
1062505;1.16121;0.710181;0.517894
1115584;1.22307;0.740899;0.502399
1171316;1.31757;0.80513;0.51109
1229834;1.34013;0.849634;0.538633
1291277;1.42472;0.907429;0.61244
1355792;1.55323;0.98762;0.569161
1423532;1.55137;0.936994;0.602114
1494659;1.0844;0.997255;0.650457
1569342;1.16189;1.05498;0.691262
1647759;1.21001;0.799586;0.576772
1730096;1.22938;0.809129;0.596317
1816549;1.29006;0.864517;0.601542
1907324;1.3375;0.867177;0.650691
2002637;1.3832;0.90865;0.655451
2102715;1.42783;0.92303;0.665217
2207796;1.48991;0.937189;0.673017
2318131;1.50578;0.971986;0.701953
2433982;1.58322;1.00256;0.735616
2555625;1.68343;1.02524;0.735664
2683350;1.70761;1.07257;0.83158
2817461;1.78834;1.09462;0.810403
2958277;1.21425;1.13102;0.818393
Scattered successful lookup, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.445324;0.34215;0.260693
10500;0.462853;0.349336;0.262465
11025;0.475267;0.365401;0.273783
11576;0.482829;0.373567;0.279088
12154;0.50051;0.374495;0.282785
12760;0.51647;0.397772;0.291401
13396;0.5317;0.4138;0.302793
14063;0.551306;0.434951;0.315267
14763;0.56623;0.450709;0.327186
15498;0.584822;0.336939;0.257666
16269;0.443553;0.341397;0.261296
17078;0.452833;0.349151;0.269504
17927;0.461039;0.364805;0.270113
18818;0.481024;0.376335;0.278701
19753;0.489197;0.387868;0.286544
20734;0.499115;0.402242;0.295085
21764;0.517108;0.405557;0.29414
22845;0.528543;0.427446;0.305828
23980;0.543883;0.445449;0.318475
